observed_at,hardware_id,price,condition,source_name,seller_name,source_url,note
2026-07-25,hardware-switch2-jp,47500,中古通常,駿河屋,駿河屋 山口大学前店,https://www.suruga-ya.jp/product/other/112100001,欠品や状態難の表示がない出品
2026-07-25,hardware-switch2-jp,47500,中古通常,駿河屋,駿河屋 市原五井店,https://www.suruga-ya.jp/product/other/112100001,欠品や状態難の表示がない出品
2026-07-25,hardware-switch2-jp,47500,中古通常,駿河屋,駿河屋 春日部店,https://www.suruga-ya.jp/product/other/112100001,欠品や状態難の表示がない出品
2026-07-25,hardware-switch-oled-white,31400,中古通常,駿河屋,駿河屋通販,https://www.suruga-ya.jp/product/detail/109102906,商品詳細の通常中古価格
2026-07-25,hardware-ps5-slim-disc,71410,中古通常,駿河屋,駿河屋 イオン明石店,https://www.suruga-ya.jp/product/other/110100586,欠品や状態難の表示がない出品
2026-07-25,hardware-ps5-slim-disc,72800,中古通常,駿河屋,駿河屋 千葉中央店,https://www.suruga-ya.jp/product/other/110100586,欠品や状態難の表示がない出品
2026-07-25,hardware-ps5-slim-disc,73260,中古通常,駿河屋,ブックマーケット函館美原店,https://www.suruga-ya.jp/product/other/110100586,欠品や状態難の表示がない出品
2026-07-25,hardware-new3dsll-blue,40780,中古通常,駿河屋,駿河屋新潟駅南店,https://www.suruga-ya.jp/product/other/104012270,欠品や状態難の表示がない出品
2026-07-25,hardware-new3dsll-blue,43330,中古通常,駿河屋,駿河屋 岐阜マーサ21店,https://www.suruga-ya.jp/product/other/104012270,欠品や状態難の表示がない出品
2026-07-25,hardware-new3dsll-blue,45100,中古通常,駿河屋,駿河屋通販,https://www.suruga-ya.jp/product/detail/104012270,タイムセール価格を確認
2026-07-25,hardware-ps2-90000cb,19000,中古通常,駿河屋,駿河屋イオンタウン郡山店,https://www.suruga-ya.jp/product/other/144010693,欠品や状態難の表示がない出品
2026-07-25,hardware-ps2-90000cb,19000,中古通常,駿河屋,駿河屋宇都宮テクノ店,https://www.suruga-ya.jp/product/other/144010693,欠品や状態難の表示がない出品
2026-07-25,hardware-ps2-90000cb,19290,中古通常,駿河屋,駿河屋新潟駅南店,https://www.suruga-ya.jp/product/other/144010693,欠品や状態難の表示がない出品
2026-07-25,hardware-gba-sp-pearl-blue,33980,中古通常,駿河屋,駿河屋通販,https://www.suruga-ya.jp/product/detail/175010046,プレミア価格表示の完品相当
